ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0, send_bit_count, port0, Accumulator, 10616466, 0, 576, 36864, 9, 64, 64
rtr_0, send_packet_count, port0, Accumulator, 10616466, 0, 9, 9, 9, 1, 1
rtr_0, output_port_stalls, port0, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_0, idle_time, port0, Accumulator, 10616466, 0, 10615719, 20239851089169, 10, 95948, 3388890
rtr_0, width_adj_count, port0, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_0, send_bit_count, port1, Accumulator, 10616466, 0, 4800, 307200, 75, 64, 64
rtr_0, send_packet_count, port1, Accumulator, 10616466, 0, 75, 75, 75, 1, 1
rtr_0, output_port_stalls, port1, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_0, idle_time, port1, Accumulator, 10616466, 0, 10610241, 1957578616849, 76, 45484, 500075
rtr_0, width_adj_count, port1, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_0, send_bit_count, port2, Accumulator, 10616466, 0, 48384, 27869184, 84, 576, 576
rtr_0, send_packet_count, port2, Accumulator, 10616466, 0, 84, 84, 84, 1, 1
rtr_0, output_port_stalls, port2, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_0, idle_time, port2, Accumulator, 10616466, 0, 10546158, 1681188369086, 85, 11788, 459149
rtr_0, width_adj_count, port2, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_0, xbar_stalls, port0, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_0, xbar_stalls, port1, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_0, xbar_stalls, port2, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_1, send_bit_count, port0, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_1, send_packet_count, port0, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_1, output_port_stalls, port0, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_1, idle_time, port0, Accumulator, 10616466, 0, 10616466, 112709350329156, 1, 10616466, 10616466
rtr_1, width_adj_count, port0, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_1, send_bit_count, port1, Accumulator, 10616466, 0, 5184, 2985984, 9, 576, 576
rtr_1, send_packet_count, port1, Accumulator, 10616466, 0, 9, 9, 9, 1, 1
rtr_1, output_port_stalls, port1, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_1, idle_time, port1, Accumulator, 10616466, 0, 10609743, 20271121687769, 10, 95201, 3388226
rtr_1, width_adj_count, port1, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_1, send_bit_count, port2, Accumulator, 10616466, 0, 576, 36864, 9, 64, 64
rtr_1, send_packet_count, port2, Accumulator, 10616466, 0, 9, 9, 9, 1, 1
rtr_1, output_port_stalls, port2, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_1, idle_time, port2, Accumulator, 10616466, 0, 10615629, 20240468472925, 10, 95938, 3388880
rtr_1, width_adj_count, port2, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_1, xbar_stalls, port0, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_1, xbar_stalls, port1, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_1, xbar_stalls, port2, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_2, send_bit_count, port0, Accumulator, 10616466, 0, 43200, 24883200, 75, 576, 576
rtr_2, send_packet_count, port0, Accumulator, 10616466, 0, 75, 75, 75, 1, 1
rtr_2, output_port_stalls, port0, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_2, idle_time, port0, Accumulator, 10616466, 0, 10560441, 1880316871981, 76, 12884, 459239
rtr_2, width_adj_count, port0, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_2, send_bit_count, port1, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_2, send_packet_count, port1, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_2, output_port_stalls, port1, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_2, idle_time, port1, Accumulator, 10616466, 0, 10616466, 112709350329156, 1, 10616466, 10616466
rtr_2, width_adj_count, port1, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_2, send_bit_count, port2, Accumulator, 10616466, 0, 4800, 307200, 75, 64, 64
rtr_2, send_packet_count, port2, Accumulator, 10616466, 0, 75, 75, 75, 1, 1
rtr_2, output_port_stalls, port2, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_2, idle_time, port2, Accumulator, 10616466, 0, 10609491, 1957358480433, 76, 46490, 500065
rtr_2, width_adj_count, port2, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_2, xbar_stalls, port0, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_2, xbar_stalls, port1, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
rtr_2, xbar_stalls, port2, Accumulator, 10616466, 0, 0, 0, 0, 0, 0
arbiter_0, packet_latency, , Accumulator, 10616466, 0, 168, 336, 84, 2, 2
arbiter_0, send_bit_count, , Accumulator, 10616466, 0, 5376, 344064, 84, 64, 64
arbiter_0, output_port_stalls, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
arbiter_0, idle_time, , Accumulator, 10616466, 0, 4501112, 457109136158, 85, 38692, 403716
arbiter_0_mem_ctrl_0, requests_received_GetS, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
arbiter_0_mem_ctrl_0, requests_received_GetSX, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
arbiter_0_mem_ctrl_0, requests_received_GetX, , Accumulator, 10616466, 0, 9, 9, 9, 1, 1
arbiter_0_mem_ctrl_0, requests_received_Write, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
arbiter_0_mem_ctrl_0, requests_received_PutM, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
arbiter_0_mem_ctrl_0, outstanding_requests, , Accumulator, 10616466, 0, 472, 472, 16986, 0, 1
arbiter_0_mem_ctrl_0, latency_GetS, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
arbiter_0_mem_ctrl_0, latency_GetSX, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
arbiter_0_mem_ctrl_0, latency_GetX, , Accumulator, 10616466, 0, 472, 25184, 9, 50, 72
arbiter_0_mem_ctrl_0, latency_Write, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
arbiter_0_mem_ctrl_0, latency_PutM, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
arbiter_0_mem_ctrl_0, cycles_with_issue, , Accumulator, 10616466, 0, 9, 9, 9, 1, 1
arbiter_0_mem_ctrl_0, cycles_attempted_issue_but_rejected, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
arbiter_0_mem_ctrl_0, total_cycles, , Accumulator, 10616466, 0, 16986, 288524196, 1, 16986, 16986
arbiter_0_mem_ctrl_1, requests_received_GetS, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
arbiter_0_mem_ctrl_1, requests_received_GetSX, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
arbiter_0_mem_ctrl_1, requests_received_GetX, , Accumulator, 10616466, 0, 7, 7, 7, 1, 1
arbiter_0_mem_ctrl_1, requests_received_Write, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
arbiter_0_mem_ctrl_1, requests_received_PutM, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
arbiter_0_mem_ctrl_1, outstanding_requests, , Accumulator, 10616466, 0, 350, 350, 16986, 0, 1
arbiter_0_mem_ctrl_1, latency_GetS, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
arbiter_0_mem_ctrl_1, latency_GetSX, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
arbiter_0_mem_ctrl_1, latency_GetX, , Accumulator, 10616466, 0, 350, 17500, 7, 50, 50
arbiter_0_mem_ctrl_1, latency_Write, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
arbiter_0_mem_ctrl_1, latency_PutM, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
arbiter_0_mem_ctrl_1, cycles_with_issue, , Accumulator, 10616466, 0, 7, 7, 7, 1, 1
arbiter_0_mem_ctrl_1, cycles_attempted_issue_but_rejected, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
arbiter_0_mem_ctrl_1, total_cycles, , Accumulator, 10616466, 0, 16986, 288524196, 1, 16986, 16986
mirandaCPU_0, read_reqs, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
mirandaCPU_0, write_reqs, , Accumulator, 10616466, 0, 100, 100, 100, 1, 1
mirandaCPU_0, custom_reqs, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
mirandaCPU_0, split_read_reqs, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
mirandaCPU_0, split_write_reqs, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
mirandaCPU_0, split_custom_reqs, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
mirandaCPU_0, cycles_with_issue, , Accumulator, 10616466, 0, 100, 100, 100, 1, 1
mirandaCPU_0, cycles_no_issue, , Accumulator, 10616466, 0, 29637, 29637, 29637, 1, 1
mirandaCPU_0, total_bytes_read, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
mirandaCPU_0, total_bytes_write, , Accumulator, 10616466, 0, 800, 6400, 100, 8, 8
mirandaCPU_0, total_bytes_custom, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
mirandaCPU_0, req_latency, , Accumulator, 10616466, 0, 10578, 1344084, 100, 87, 460
mirandaCPU_0, time, , Accumulator, 10616466, 0, 10616, 112699456, 1, 10616, 10616
mirandaCPU_0, cycles_hit_fence, , Accumulator, 10616466, 0, 29737, 29737, 29737, 1, 1
mirandaCPU_0, cycles_max_issue, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
mirandaCPU_0, cycles_max_reorder, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
mirandaCPU_0, cycles, , Accumulator, 10616466, 0, 29738, 29738, 29738, 1, 1
l1_cache_0, default_stat, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_GetS_I, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_GetS_S, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_GetS_M, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_GetX_I, , Accumulator, 10616466, 0, 100, 100, 100, 1, 1
l1_cache_0, stateEvent_GetX_S, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_GetX_M, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_GetSX_I, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_GetSX_S, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_GetSX_M, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_GetSResp_IS, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_GetXResp_IS, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_GetXResp_IM, , Accumulator, 10616466, 0, 100, 100, 100, 1, 1
l1_cache_0, stateEvent_GetXResp_SM, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_Inv_I, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_Inv_S, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_Inv_IS, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_Inv_IM, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_Inv_SM, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_Inv_SB, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_Inv_IB, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FetchInvX_I, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FetchInvX_M, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FetchInvX_IS, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FetchInvX_IM, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FetchInvX_SB, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FetchInvX_IB, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_Fetch_I, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_Fetch_S, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_Fetch_IS, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_Fetch_IM, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_Fetch_SM, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_Fetch_IB, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_Fetch_SB, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FetchInv_I, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FetchInv_S, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FetchInv_M, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FetchInv_IS, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FetchInv_IM, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FetchInv_SM, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FetchInv_SB, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FetchInv_IB, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_ForceInv_I, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_ForceInv_S, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_ForceInv_M, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_ForceInv_IS, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_ForceInv_IM, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_ForceInv_SM, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_ForceInv_SB, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_ForceInv_IB, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FlushLine_I, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FlushLine_S, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FlushLine_M, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FlushLineInv_I, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FlushLineInv_S, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FlushLineInv_M, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FlushLineResp_I, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FlushLineResp_IB, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, stateEvent_FlushLineResp_SB, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, eventSent_GetS, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, eventSent_GetX, , Accumulator, 10616466, 0, 100, 100, 100, 1, 1
l1_cache_0, eventSent_GetSX, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, eventSent_Write, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, eventSent_PutM, , Accumulator, 10616466, 0, 36, 36, 36, 1, 1
l1_cache_0, eventSent_NACK, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, eventSent_FlushLine, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, eventSent_FlushLineInv, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, eventSent_FetchResp, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, eventSent_FetchXResp, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, eventSent_AckInv, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, eventSent_GetSResp, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, eventSent_GetXResp, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, eventSent_WriteResp, , Accumulator, 10616466, 0, 100, 100, 100, 1, 1
l1_cache_0, eventSent_FlushLineResp, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, eventSent_Put, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, eventSent_Get, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, eventSent_AckMove, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, eventSent_CustomReq, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, eventSent_CustomResp, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, eventSent_CustomAck, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, EventStalledForLockedCacheline, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, evict_I, , Accumulator, 10616466, 0, 64, 64, 64, 1, 1
l1_cache_0, evict_S, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, evict_M, , Accumulator, 10616466, 0, 36, 36, 36, 1, 1
l1_cache_0, evict_IS, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, evict_IM, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, evict_SM, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, evict_SB, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, latency_GetS_hit, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, latency_GetS_miss, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, latency_GetX_hit, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, latency_GetX_miss, , Accumulator, 10616466, 0, 29537, 10487883, 100, 243, 1287
l1_cache_0, latency_GetX_upgrade, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, latency_GetSX_hit, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, latency_GetSX_miss, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, latency_GetSX_upgrade, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, latency_FlushLine, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, latency_FlushLine_fail, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, latency_FlushLineInv, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, latency_FlushLineInv_fail, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, GetSHit_Arrival, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, GetXHit_Arrival, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, GetSXHit_Arrival, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, GetSHit_Blocked, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, GetXHit_Blocked, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
l1_cache_0, GetSXHit_Blocked, , Accumulator, 10616466, 0, 0, 0, 0, 0, 0
